  No;Problem;                                                                            ;;
 371;lwb/k_grz_n.2600.spartacus;                                             69.00; Sat  ;
 372;lwb/k_grz_n.2700.spartacus;                                             72.10; Sat  ;
 373;lwb/k_grz_n.2800.spartacus;                                             82.50; Sat  ;
 374;lwb/k_grz_n.2900.spartacus;                                             94.90; Sat  ;
 375;lwb/k_grz_n.3000.spartacus;                                             99.79; Sat  ;
 376;lwb/k_grz_n.3100.spartacus;                                            107.72; Sat  ;
 377;lwb/k_grz_n.3200.spartacus;                                            126.84; Sat  ;
 378;lwb/k_grz_n.3300.spartacus;                                            132.12; Sat  ;
 379;lwb/k_grz_n.3400.spartacus;                                            152.01; Sat  ;
 380;lwb/k_grz_n.3500.spartacus;                                            161.58; Sat  ;
 381;lwb/k_grz_n.3600.spartacus;                                            172.89; Sat  ;
 382;lwb/k_grz_n.3700.spartacus;                                            196.53; Sat  ;
 383;lwb/k_grz_n.3800.spartacus;                                            221.60; Sat  ;
 384;lwb/k_grz_n.3900.spartacus;                                            254.91; Sat  ;
 385;lwb/k_grz_n.4000.spartacus;                                            309.00; Sat  ;
