Prover,System,Problem,Execution Time,Result
lwb,bbtab,k_path_n.0160.,121.22, Sat  
lwb,bbtab,k_path_n.0170.,142.6, Sat  
lwb,bbtab,k_path_n.0180.,190.79, Sat  
lwb,bbtab,k_path_n.0190.,233.33, Sat  
lwb,bbtab,k_path_n.0200.,259.11, Sat  
lwb,bbtab,k_path_n.0210.,316.76, Sat  
lwb,bbtab,k_path_n.0220.,376.12, Sat  
lwb,bbtab,k_path_n.0230.,399.44, Sat  
lwb,bbtab,k_path_n.0240.,482.12, Sat  
lwb,bbtab,k_path_n.0250.,580.37, Sat  
lwb,bbtab,k_path_n.0260.,659.17, Sat  
lwb,bbtab,k_path_n.0270.,760.64, Sat  
lwb,bbtab,k_path_n.0280.,859.79, Sat  
lwb,bbtab,k_path_n.0290.,886.19, Sat  
lwb,bbtab,k_path_n.0300.,9999999.0,NULL
lwb,bbtab,k_path_n.0310.,9999999.0,NULL
lwb,bbtab,k_path_n.0320.,9999999.0,NULL
lwb,bbtab,k_path_n.0330.,9999999.0,NULL
lwb,bbtab,k_path_n.0340.,9999999.0,NULL
lwb,bbtab,k_path_n.0350.,9999999.0,NULL
lwb,bbtab,k_path_n.0360.,9999999.0,NULL
lwb,bbtab,k_path_n.0370.,9999999.0,NULL
lwb,bbtab,k_path_n.0380.,9999999.0,NULL
lwb,bbtab,k_path_n.0390.,9999999.0,NULL
lwb,bbtab,k_path_n.0400.,9999999.0,NULL
lwb,bbtab,k_path_n.0500.,9999999.0,NULL
lwb,bbtab,k_path_n.0600.,9999999.0,NULL
lwb,bbtab,k_path_n.0700.,9999999.0,NULL
lwb,bbtab,k_path_n.0800.,9999999.0,NULL
lwb,bbtab,k_path_n.0900.,9999999.0,NULL
lwb,bbtab,k_path_n.1000.,9999999.0,NULL
lwb,bbtab,k_path_n.1100.,9999999.0,NULL
lwb,bbtab,k_path_n.1200.,9999999.0,NULL
lwb,bbtab,k_path_p.0002.,0.0, Unsat
lwb,bbtab,k_path_p.0004.,0.0, Unsat
lwb,bbtab,k_path_p.0006.,0.0, Unsat
lwb,bbtab,k_path_p.0008.,0.01, Unsat
lwb,bbtab,k_path_p.0010.,0.02, Unsat
lwb,bbtab,k_path_p.0012.,0.04, Unsat
lwb,bbtab,k_path_p.0014.,0.05, Unsat
lwb,bbtab,k_path_p.0016.,0.09, Unsat
lwb,bbtab,k_path_p.0018.,0.14, Unsat
lwb,bbtab,k_path_p.0020.,0.18, Unsat
lwb,bbtab,k_path_p.0030.,0.6, Unsat
lwb,bbtab,k_path_p.0040.,1.49, Unsat
lwb,bbtab,k_path_p.0050.,2.53, Unsat
lwb,bbtab,k_path_p.0060.,5.18, Unsat
lwb,bbtab,k_path_p.0070.,7.8, Unsat
lwb,bbtab,k_path_p.0080.,10.88, Unsat
lwb,bbtab,k_path_p.0090.,18.45, Unsat
lwb,bbtab,k_path_p.0100.,26.25, Unsat
lwb,bbtab,k_path_p.0110.,33.59, Unsat
lwb,bbtab,k_path_p.0120.,49.12, Unsat
lwb,bbtab,k_path_p.0130.,70.92, Unsat
lwb,bbtab,k_path_p.0140.,89.8, Unsat
lwb,bbtab,k_path_p.0150.,116.19, Unsat
lwb,bbtab,k_path_p.0160.,150.08, Unsat
lwb,bbtab,k_path_p.0170.,182.48, Unsat
lwb,bbtab,k_path_p.0180.,242.34, Unsat
lwb,bbtab,k_path_p.0190.,296.22, Unsat
lwb,bbtab,k_path_p.0200.,331.94, Unsat
lwb,bbtab,k_path_p.0210.,398.74, Unsat
lwb,bbtab,k_path_p.0220.,471.39, Unsat
lwb,bbtab,k_path_p.0230.,508.69, Unsat
lwb,bbtab,k_path_p.0240.,618.34, Unsat
lwb,bbtab,k_path_p.0250.,744.7, Unsat
lwb,bbtab,k_path_p.0260.,854.03, Unsat
